id,nombre
13,INGENIERIA EN TELEMATICA
16,ESPECIALIZACION EN INFORMATICA Y AUTOMATICA INDUSTRIAL
18,ESPECIALIZACION EN INGENIERIA DE SOFTWARE
19,ESPECIALIZACION EN PROYECTOS INFORMATICOS
21,MAESTRIA EN CIENCIAS DE LA INFORMACION Y LAS COMUNICACIONES
22,MAESTRIA EN INGENIERIA INDUSTRIAL
23,INGENIERIA TOPOGRAFICA
24,LICENCIATURA EN FISICA
25,ESPECIALIZACION EN BIOINGENIERIA
26,LICENCIATURA EN BIOLOGIA
27,LICENCIATURA EN CIENCIAS SOCIALES
28,LICENCIATURA EN HUMANIDADES Y LENGUA CASTELLANA
29,LICENCIATURA EN LENGUAS EXTRANJERAS CON ENFASIS EN INGLES
30,LICENCIATURA EN MATEMATICAS
31,LICENCIATURA EN QUIMICA
34,"ESPECIALIZACION EN HIGIENE, SEGURIDAD Y SALUD EN EL TRABAJO"
37,ADMINISTRACION DEPORTIVA
38,ARTES ESCENICAS
39,ARTES MUSICALES
40,ARTES PLASTICAS Y VISUALES
49,ESPECIALIZACION EN EDUCACION EN TECNOLOGIA
50,ESPECIALIZACION EN AMBIENTE Y DESARROLLO LOCAL
51,ESPECIALIZACION EN AVALUOS 
52,ESPECIALIZACION EN DESARROLLO HUMANO CON ENFASIS EN  PROCESOS AFECTIVOS Y CREATIVIDAD
53,ESPECIALIZACION EN DISENO DE VIAS URBANAS TRANSITO Y TRANSPORTE
54,ESPECIALIZACION EN EDUCACION MATEMATICA
55,ESPECIALIZACION EN EDUCACION Y GESTION AMBIENTAL
56,ESPECIALIZACION EN GERENCIA DE RECURSOS NATURALES
57,ESPECIALIZACION EN GESTION DE PROYECTOS DE INGENIERIA
58,"ESPECIALIZACION EN INFANCIA, CULTURA Y DESARROLLO"
59,ESPECIALIZACION EN LENGUAJE Y PEDAGOGIA DE PROYECTOS
60,ESPECIALIZACION EN PEDAGOGIA DE LA COMUNICACION Y MEDIOS INTERACTIVOS (NO SE OFERTA)
61,ESPECIALIZACION EN SISTEMAS DE INFORMACION GEOGRAFICA
62,ESPECIALIZACION EN TELECOMUNICACIONES MOVILES
63,ESPECIALIZACION EN TELEINFORMATICA
64,ESPECIALIZACION EN GERENCIA DE PROYECTOS  EDUCATIVOS INSTITUCIONALES
67,INSTITUTO DE LENGUAS - ILUD
68,INGENIERIA CIVIL (POR CICLOS PROPEDEUTICOS)
69,INGENIERIA AMBIENTAL
70,INGENIERIA CATASTRAL Y GEODESIA - ICG
71,INGENIERIA DE PRODUCCION (POR CICLOS PROPEDEUTICOS)
72,INGENIERIA DE SISTEMAS
73,INGENIERIA ELECTRICA
74,INGENIERIA ELECTRONICA
75,INGENIERIA EN CONTROL
76,INGENIERIA EN DISTRIBUCION Y REDES ELECTRICAS
77,INGENIERIA EN TELECOMUNICACIONES
78,INGENIERIA FORESTAL
79,INGENIERIA INDUSTRIAL
80,INGENIERIA MECANICA
87,LICENCIATURA EN EDUCACION ARTISTICA
88,LICENCIATURA EN PEDAGOGIA INFANTIL
89,MAESTRIA EN INVESTIGACION SOCIAL INTERDISCIPLINARIA
90,MAESTRIA EN LINGUISTICA APLICADA A LA ENSENANZA DEL INGLES
108,TECNOLOGIA ELECTRONICA (POR CICLOS PROPEDEUTICOS)
109,TECNOLOGIA EN CONSTRUCCIONES CIVILES (POR CICLOS PROPEDEUTICOS)
110,TECNOLOGIA EN ELECTRICIDAD DE MEDIA Y BAJA TENSION
111,TECNOLOGIA EN GESTION AMBIENTAL Y SERVICIOS PUBLICOS
112,TECNOLOGIA EN SANEAMIENTO AMBIENTAL
113,TECNOLOGIA EN TOPOGRAFIA
114,TECNOLOGIA  INDUSTRIAL (POR CICLOS PROPEDEUTICOS)
115,TECNOLOGIA MECANICA (POR CICLOS PROPEDEUTICOS)
116,TECNOLOGIA EN SISTEMATIZACION DE DATOS (POR CICLOS PROPEDEUTICOS)
121,ADMINISTRACION AMBIENTAL
125,DOCTORADO INTERINSTITUCIONAL EN EDUCACION
139,INGENIERIA ELECTRICA (POR CICLOS PROPEDEUTICOS)
140,MAESTRIA EN DESARROLLO SUSTENTABLE Y GESTION AMBIENTAL
141,MAESTRIA EN PEDAGOGIA DE LA LENGUA MATERNA
142,MAESTRIA EN COMUNICACION-EDUCACION
145,"MAESTRIA EN MANEJO, USO Y CONSERVACION DEL BOSQUE"
146,MAESTRIA EN ESTUDIOS ARTISTICOS
147,ARTE DANZARIO
149,INGENIERIA SANITARIA
150,DOCTORADO EN INGENIERIA
151,MAESTRIA EN EDUCACION
159,MAESTRIA EN EDUCACION EN TECNOLOGIA
166,MAESTRIA EN TELECOMUNICACIONES MOVILES
169,MAESTRIA EN INFANCIA Y CULTURA
170,DOCTORADO EN ESTUDIOS SOCIALES
173,MAESTRIA EN INGENIERIA CIVIL
174,MAESTRIA EN EDUCACION PARA LA PAZ
198,INGENIERIA DE PRODUCCION ARTICULADO POR CICLOS PROPEDEUTICOS CON TECNOLOGIA EN GESTION DE LA PRODUCCION INDUSTRIAL
199,INGENIERIA MECANICA ARTICULADO POR CICLOS PROPEDEUTICOS CON TECNOLOGIA EN MECANICA INDUSTRIAL
200,INGENIERIA EN TELEMATICA ARTICULADO POR CICLOS PROPEDEUTICOS CON TECNOLOGIA EN SISTEMATIZACION DE DATOS 
201,INGENIERIA CIVIL ARTICULADO POR CICLOS PROPEDEUTICOS CON TECNOLOGIA EN CONSTRUCCIONES CIVILES
202,INGENIERIA ELECTRICA ARTICULADO POR CICLOS PROPEDEUTICOS CON TECNOLOGIA EN SISTEMAS ELECTRICOS DE MEDIA Y BAJA TENSION
203,INGENIERIA EN CONTROL E INGENIERIA EN TELECOMUNICACIONES ARTICULADOS POR CICLOS PROPEDEUTICOS EN TECNOLOGIA EN ELECTRONICA
204,MAESTRIA EN INGENIERIA CON ENFASIS EN INGENIERIA ELECTRONICA
205,COMUNICACION SOCIAL Y PERIODISMO
206,ARCHIVISTICA Y GESTION DE LA INFORMACION DIGITAL
207,LICENCIATURA EN EDUCACION INFANTIL
208,DOCTORADO EN ESTUDIOS ARTISTICOS
210,MAESTRIA EN EDUCACION - GUAJIRA
211,ESPECIALIZACION EN GERENCIA DE LA CONSTRUCCION
212,TECNOLOGIA EN ELECTRONICA INDUSTRIAL
213,INGENIERIA EN CONTROL Y AUTOMATIZACION
214,ESPECIALIZACION EN INTERVENTORIA Y SUPERVISION DE OBRAS DE CONSTRUCCION
227,MAESTRÍA EN EDUCACIÓN Y GESTIÓN AMBIENTAL
228,MAESTRÍA EN INFRAESTRUCTURA VIAL
229,MAESTRÍA EN DESARROLLO HUMANO Y EDUCACIÓN SOCIOAFECTIVA
230,MAESTRÍA EN GERENCIA INTEGRAL DE PROYECTOS
231,MAESTRÍA EN GESTIÓN Y SEGURIDAD DE LA INFORMACIÓN
233,QUIMICA
234,BIOLOGIA
235,FISICA
236,MATEMATICAS
279,DOCTORADO EN AMBIENTE E INGENIERIA SUSTENTABLE
280,"MAESTRIA EN PEDAGOGIA DEL LENGUAJE, LA LITERATURA Y LA COMUNICACION"
